"row","column","cor","p"
"auth_score","gilschmidt",0.0616104681095537,0.324259697475651
"hub_score","gilschmidt",0.662384134137281,0
"local_trans","gilschmidt",-0.414542880751434,3.89310805815057e-12
"in_ecc_cent","gilschmidt",-0.109006985239596,0.0805297272377388
"out_ecc_cent","gilschmidt",-0.486467092701975,0
"load_cent","gilschmidt",0.528207323046019,0
"stress_cent","gilschmidt",0.523282487925987,0
"deg_cent_total","hyper_index",0.459692611540284,1.84993079965778e-07
"deg_cent_out","hyper_index",0.103506897339785,0.266756271487325
"deg_cent_in","hyper_index",0.433931417992738,1.02050882855309e-06
"wtd_deg_cent_total","hyper_index",0.260318568817477,0.0045885053717849
"wtd_deg_cent_out","hyper_index",0.137504653488644,0.13929985153289
"wtd_deg_cent_in","hyper_index",0.442434771940164,5.89810614792796e-07
"btw_cent","hyper_index",0.496196854903275,1.27682833195308e-08
"close_cent_total","hyper_index",0.424248522577416,1.87149146402277e-06
"close_cent_out","hyper_index",0.110221020412124,0.236797041822924
"close_cent_in","hyper_index",0.439158308099106,7.29833381507561e-07
"eigen_cent","hyper_index",0.338517097033134,0.000189100219272653
"component","hyper_index",NA,NA
"louvain_comm","hyper_index",-0.14897741958403,0.108913622196597
"fstgrdy_comm","hyper_index",0.00690051015923825,0.941137766260832
"page_rank","hyper_index",0.444849042033895,5.03412505903356e-07
"alpha_cent","hyper_index",-0.0362946917965848,0.697645980850776
"auth_score","hyper_index",0.441588723635669,6.23294819757092e-07
"hub_score","hyper_index",0.0869804007730842,0.351075965804798
"local_trans","hyper_index",-0.382934562711424,2.03338297946054e-05
"in_ecc_cent","hyper_index",-0.104690007116135,0.261298472799411
"out_ecc_cent","hyper_index",-0.0953958699035165,0.306250708871639
"load_cent","hyper_index",0.496300641007426,1.26658570298588e-08
"stress_cent","hyper_index",0.514647742527056,2.92128965462268e-09
"gilschmidt","hyper_index",0.103376242977378,0.267363703086073
"deg_cent_total","k_core_in",0.778673151281758,0
"deg_cent_out","k_core_in",0.255920480951798,3.17939524565602e-05
"deg_cent_in","k_core_in",0.787491502940179,0
"wtd_deg_cent_total","k_core_in",0.2716275119596,9.63169442824707e-06
"wtd_deg_cent_out","k_core_in",0.299469953402118,9.59564688596259e-07
"wtd_deg_cent_in","k_core_in",0.233273356917391,0.00015618323420119
"btw_cent","k_core_in",0.655377370063215,0
"close_cent_total","k_core_in",0.710336654214818,0
"close_cent_out","k_core_in",0.259169450239077,2.49885057486132e-05
"close_cent_in","k_core_in",0.684073328417405,0
"eigen_cent","k_core_in",0.202519802215358,0.00107123972193657
"component","k_core_in",NA,NA
"louvain_comm","k_core_in",-0.017867389958285,0.775167648740679
"fstgrdy_comm","k_core_in",-0.028983302101823,0.643093760252988
"page_rank","k_core_in",0.219074729548545,0.000392712595377764
"alpha_cent","k_core_in",-0.15666118095394,0.0117451682466871
"auth_score","k_core_in",0.229444153337108,0.000201414616064266
"hub_score","k_core_in",0.244929449412337,7.01515860734858e-05
"local_trans","k_core_in",-0.928222298812405,0
"in_ecc_cent","k_core_in",-0.527642234959787,0
"out_ecc_cent","k_core_in",-0.0863761337696831,0.166586471114324
"load_cent","k_core_in",0.655410117387568,0
"stress_cent","k_core_in",0.69769387799061,0
"gilschmidt","k_core_in",0.255287458818642,3.33092296460613e-05
"hyper_index","k_core_in",0.339359788347871,0.000181811060878889
"deg_cent_total","k_core_out",0.238486964024814,0.000109720038373951
"deg_cent_out","k_core_out",0.590391540786601,0
"deg_cent_in","k_core_out",0.0875264030740924,0.160990788756079
"wtd_deg_cent_total","k_core_out",0.11074881211893,0.0757794570231867
"wtd_deg_cent_out","k_core_out",0.362599125285133,1.95621874254925e-09
"wtd_deg_cent_in","k_core_out",0.054631818007428,0.382167954106822
"btw_cent","k_core_out",0.188192084327088,0.00240295828155368
"close_cent_total","k_core_out",0.208882107579317,0.000735023096622545
"close_cent_out","k_core_out",0.524891835297202,0
"close_cent_in","k_core_out",0.0842645010767936,0.17723516725296
"eigen_cent","k_core_out",0.0449791952483745,0.471938338854791
"component","k_core_out",NA,NA
"louvain_comm","k_core_out",-0.0284787313439955,0.64888816833039
"fstgrdy_comm","k_core_out",0.0218142466005589,0.727292942352228
"page_rank","k_core_out",0.0475470329445034,0.446991514246315
"alpha_cent","k_core_out",-0.0608655121093702,0.330155457901889
"auth_score","k_core_out",0.0542788823159874,0.385254916776931
"hub_score","k_core_out",0.338724020712741,2.40355690905858e-08
"local_trans","k_core_out",-0.187717780443741,0.0024657603367273
